location_name,address,city,state,zipcode,count(1)
rohnert park,5080 redwood dr,rohnert park,ca,94928,33806
northgate,391 spectrum loop,colorado springs,co,80921,33583
misericordia university,301 lake st,dallas,pa,18612,33561
tampa international airportairside a,4100 george j bean pkwy,tampa,fl,33607,33498
frisco lakes,7979 fm 423,frisco,tx,75034,33462
hersheypark,300 park blvd,hershey,pa,17033,33352
highland lakes,2105 us highway 281,marble falls,tx,78654,33223
hwy 249 at west road,12935 state highway 249,houston,tx,77086,32838
kings dominion ocl,16000 theme park way,doswell,va,23047,32732
skyview container ocl,168 luckie st nw,atlanta,ga,30303,32701
cherry creek,430 s colorado blvd,denver,co,80246,32571
bwi elkridge landing,1610 w nursery rd,linthicum heights,md,21090,32324
salisbury university,1101 camden ave,salisbury,md,21801,31979
bowie marketplace,15505 annapolis rd,bowie,md,20715,31927
university blvd,305 university blvd,round rock,tx,78665,31893
waynesville,45 barber blvd,waynesville,nc,28786,31774
eagle pass,635 s bibb ave,eagle pass,tx,78852,31613
ga world congress center ocl,285 andrew young international blvd nw,atlanta,ga,30313,31479
aspen grove,7301 s santa fe dr unit 900,littleton,co,80120,31464
cityline,1400 e renner rd,richardson,tx,75082,31394
west hartford,509 new park ave,west hartford,ct,06110,31390
eldorado amp; ridge,6201 eldorado pkwy,mckinney,tx,75070,31324
annapolis,2025 somerville rd,annapolis,md,21401,31155
baltimorewashington int39;l airportconc d,aviation blvd amp elm road,baltimore,md,21240,31155
old orchard,9341 skokie blvd,skokie,il,60077,31059
kings island theme park ocl,6300 kings island dr,mason,oh,45040,31029
broadway amp; dartmouth,3085 s broadway,englewood,co,80113,31012
knickerbocker,1609 knickerbocker rd,san angelo,tx,76904,30984
university of texas medical branch,301 n university blvd,galveston,tx,77555,30941
west end,3210 w loop 289,lubbock,tx,79407,30912
hwy 96 amp; south shore blvd,2805 e league city pkwy,league city,tx,77573,30799
houston george bush inter39;l airport  terminal b,2800 n terminal rd,houston,tx,77032,30714
puente hills,1542 s azusa ave,city of industry,ca,91748,30676
sanford fl,4590 w state road 46,sanford,fl,32771,30372
waverly,11530 waverly center drive,charlotte,nc,28277,29589
kettering,480 e stroop rd,kettering,oh,45429,29494
march lane at i5,2628 w march ln,stockton,ca,95207,29088
centreport,4332 highway 360,fort worth,tx,76155,24556
i4 amp; hwy 27,43568 highway 27,davenport,fl,33837,23513
54th and 131,700 54th st sw,wyoming,mi,49509,23011
reagan washington national airport,1 aviation cir,washington,dc,20001,22936
salina,2245 s 9th st,salina,ks,67401,22844
cape cod,155 enterprise rd,hyannis,ma,02601,22760
i35 at 15th,1025 w i 35 frontage rd,edmond,ok,73034,22643
altoona,106 sierra dr,altoona,pa,16601,22518
willow lawn,4920 w broad st,richmond,va,23230,22335
university of nc  pembroke,1 university rd,pembroke,nc,28372,22205
okemos,2075 w grand river ave,okemos,mi,48864,22067
seekonk,1100 fall river ave,seekonk,ma,02771,22054
lohman avenue,2091 e lohman ave,las cruces,nm,88001,21892
s rice and westpark,5325 s rice ave,houston,tx,77081,21853
ellisville,304 clarkson rd,ellisville,mo,63011,21747
bluemound,1 n moorland rd,brookfield,wi,53005,21688
memorial blvd tn,2116 memorial blvd,murfreesboro,tn,37129,21562
warminster,45 w street rd,warminster,pa,18974,21472
avalon,2720 old milton pkwy,alpharetta,ga,30009,21408
troy inline with dt,1910 w main st,troy,oh,45373,21324
deland,2295 south woodland boulevard,deland,fl,32720,21261
smith crossroads,116 wilkesboro blvd se,lenoir,nc,28645,21188
dulles 28 and waxpool road,22015 dulles retail plz,sterling,va,20166,21111
palmhurst,214 east mile 3 north road,palmhurst,tx,78573,21055
hutchinson,1809 e 17th ave,hutchinson,ks,67501,21037
cascade road,3725 cascade rd sw,atlanta,ga,30331,21032
westnedge,6202 s westnedge ave,portage,mi,49002,20881
kalispell,35 treeline rd,kalispell,mt,59901,20877
charlottedouglas international airport,5501 birmingham parkway,charlotte,nc,28208,20864
west st paul,1770 robert st s,west saint paul,mn,55118,20796
hopyard road amp; 580,5785 johnson dr,pleasanton,ca,94588,20756
17th and wanamaker,1625 sw wanamaker rd,topeka,ks,66604,20517
benedict college,1600 harden st,columbia,sc,29204,20475
south square,4139 durham chapel hill blvd,durham,nc,27707,20449
e university ave,1105 e university ave,las cruces,nm,88001,20381
del sur town center,17115 camino del sur,san diego,ca,92127,20212
carowinds ocl,3900 avenue of the carolinas,fort mill,sc,29708,20203
west allis center,2645 s 108th st,west allis,wi,53227,20163
suntrust park ocl,75 off cir pkwy,atlanta,ga,30339,20156
commack,656 commack rd,commack,ny,11725,20064
hicksville ny,1401 broadway mall,hicksville,ny,11801,20003
puyallup,104 39th ave sw,puyallup,wa,98373,19893
mississippi baptist medical center,1225 n state st,jackson,ms,39202,19841
grand rapids south,1545 edgeknoll dr se,grand rapids,mi,49508,19262
brandon south,2010 bloomingdale ave,valrico,fl,33596,19004
thomson,1806 washington rd,thomson,ga,30824,18970
fayetteville towne center,875 glynn st s,fayetteville,ga,30214,18347
tech rd silver spring inline,12289 tech rd,silver spring,md,20904,18337
wilson/beltway 8,9525 n sam houston pkwy e,humble,tx,77396,18239
killeen,1400 e central texas expy,killeen,tx,76541,18213
oldsmar,3740 tampa rd,oldsmar,fl,34677,18209
columbus commons,2204 s columbus blvd,philadelphia,pa,19148,17893
kennesaw state university,398 cobb ave,kennesaw,ga,30144,17892
wake forest baptist medical center,medical center blvd,winston salem,nc,27157,17744
crofton,2691 carver rd,gambrills,md,21054,17718
temecula,40531 margarita rd,temecula,ca,92591,17677
glenbrook square,4201 coldwater rd,fort wayne,in,46805,17590
university of pikeville,137 sycamore st,pikeville,ky,41501,17526
university place,8648 jw clay blvd,charlotte,nc,28262,17523
texas state university,100 moore street bldg 30,san marcos,tx,78666,17513
palm harbor drivethru only,32800 us highway 19 n,palm harbor,fl,34684,17478
king of prussia mall,160 n gulph rd ste 1017,king of prussia,pa,19406,17448
north riverside,7201 w cermak rd,north riverside,il,60546,17416
longview mall,3500 mccann rd,longview,tx,75605,17403
university of houstonuniversity center,4700 calhoun rd,houston,tx,77004,17391
hwy 26 at precinct line,767 grapevine hwy,hurst,tx,76054,17380
lake houston,19220 w lake houston pkwy,humble,tx,77346,17355
south hills,1620 washington rd,pittsburgh,pa,15241,17355
mt dora,17240 us highway 441,mount dora,fl,32757,17351
pleasant hills,461 clairton blvd,pleasant hills,pa,15236,17327
gateway park,3444 n salida ct,aurora,co,80011,17313
perry hall shopping center,8867 belair rd,baltimore,md,21236,17312
harbour view,6212 college dr,suffolk,va,23435,17300
rivergate cordova,2354 sunrise blvd,rancho cordova,ca,95670,17299
moore road,1035 peachtree industrial blvd,suwanee,ga,30024,17297
south riding,43310 defender dr,chantilly,va,20152,17273
sloan39;s lake,1901 sheridan blvd,edgewater,co,80214,17256
woodbury town center,6428 irvine blvd,irvine,ca,92620,17238
lake worth tx,6556 lake worth blvd,lake worth,tx,76135,17236
market of hilliard,1988 hilliard rome rd,hilliard,oh,43026,17228
elmhurst,235 s il route 83,elmhurst,il,60126,17202
north haven,560 universal dr n,north haven,ct,06473,17190
ingleside,5668 baltimore national pike,catonsville,md,21228,17188
peachtree center,233 peachtree st ne  b40,atlanta,ga,30303,17172
montgomery mall pa,314 montgomery mall,north wales,pa,19454,17170
ghent,1600 monticello ave,norfolk,va,23510,17167
belden village mall,4228 belden village mall,canton,oh,44718,17163
tyson39;s west inline,8461 leesburg pike ste b,vienna,va,22182,17136
brookfield,156 federal rd,brookfield,ct,06804,17130
kennesaw state university  marietta,1100 s marietta pkwy se,marietta,ga,30060,17121
watauga,8016 denton hwy,watauga,tx,76148,17113
ross park mall,1000 ross park mall dr,pittsburgh,pa,15237,17109
columbus national,1250 n national rd,columbus,in,47201,17094
forum shopping center,8371 agora pkwy,selma,tx,78154,17087
veterans amp; college,101 s veterans pkwy,normal,il,61761,17084
state farm corp hq,1 state farm plz,bloomington,il,61710,17079
airport highway,6720 airport hwy,holland,oh,43528,17074
mall of georgia,3333 buford dr spc no1071,buford,ga,30519,17072
novato,35 rowland way,novato,ca,94945,17071
the villages,730 n us highway 441,the villages,fl,32159,17056
cityview,4913 bryant irvin rd,fort worth,tx,76132,17051
easton,28632 marlboro ave,easton,md,21601,17044
leesburg,1002 edwards ferry rd ne,leesburg,va,20176,17043
palmdale,732 w rancho vista blvd,palmdale,ca,93551,17041
louetta crossing,20608 interstate 45,spring,tx,77373,17037
lake travis,3600 ranch road 620 s ste c,bee cave,tx,78738,17036
mira mesa,10750 camino ruiz,san diego,ca,92126,17028
riverside drive,3535 riverside dr,danville,va,24541,17011
waxahachie,996 w highway 287 byp,waxahachie,tx,75165,17004
fairview heights,6203 n illinois st,fairview heights,il,62208,16977
deer park,9101 spencer hwy,la porte,tx,77571,16972
peachtree city midtown,707 highway 54,peachtree city,ga,30269,16970
university at rouse,11350 university blvd,orlando,fl,32817,16965
university of kentucky,239 student ctr,lexington,ky,40506,16951
the mall at millenia,4200 conroy rd ste 245,orlando,fl,32839,16948
hammond,1925 sw railroad ave,hammond,la,70403,16934
houma,1741 martin luther king jr blvd,houma,la,70360,16924
palm bay road,835 palm bay rd ne,melbourne,fl,32904,16921
macland crossing,2005 macland crossing cir sw,marietta,ga,30008,16918
georgia state university,66 courtland street,atlanta,ga,30303,16907
eldersburg,6032 sykesville rd,eldersburg,md,21784,16905
university of ncwilmington,601 s college rd,wilmington,nc,28403,16891
franklin avenue,4310 franklin ave,waco,tx,76710,16883
kutztown university,20 luckenbill road,kutztown,pa,19530,16878
kenwood towne centre,7875 montgomery rd spc f5,cincinnati,oh,45236,16870
indiana wesleyan university,4201 s washington st,marion,in,46953,16868
ball state university,1101 n mckinley ave,muncie,in,47306,16867
